campaign_type,platform,region,device,age_group,season,campaign_date,budget,impressions,clicks,likes,shares,comments,leads,conversions,customer_rating,revenue,spend,profit,roi,bounce_rate,session_duration_sec
affiliate,x,east,desktop,45-54,monsoon,2024-06-24,82513.0,1113570,49577,60439,12979,5307,3809,914,3.8,6109823.61,66126.64,6043696.970000001,9139.58,33.71,191.0
social media,instagram,north,tablet,55+,monsoon,2025-01-08,227009.0,1626565,65385,31100,5728,3423,9500,2281,5.0,11270012.99,243321.94,11026691.05,4531.73,65.16,125.0
influencer,linkedin,east,tablet,55+,winter,2023-03-12,123324.0,1203698,13583,19894,2030,1351,2020,305,3.5,2651189.42,135268.15,2515921.27,1859.95,59.69,113.0
search,x,south,desktop,18-24,monsoon,2025-08-01,147289.0,1913946,61440,87397,5569,8164,2277,454,3.9,4121140.36,161447.93,3959692.43,2452.61,40.07,198.0
social media,x,central,tablet,45-54,summer,2024-04-20,40031.0,624396,9195,4902,495,601,1599,264,4.1,405058.5,43589.93,361468.57,829.25,32.77,184.0
influencer,facebook,east,tablet,45-54,winter,2025-06-25,120775.0,2141519,47802,69509,8322,9165,11258,3415,4.5,23490625.51,120649.41,23369976.1,19370.15,33.17,222.0
search,instagram,east,mobile,25-34,winter,2025-12-30,141798.0,2734722,16909,13861,2252,662,1453,416,4.1,3984880.71,130724.91,3854155.8,2948.29,66.37,212.0
search,instagram,central,desktop,25-34,festive,2024-10-15,186637.0,3070886,127602,89342,18589,4782,19678,2640,4.1,45531933.8,176019.53,45355914.27,25767.55,70.81,65.0
search,youtube,east,desktop,45-54,summer,2023-01-25,59141.0,451331,18174,12609,822,1193,2329,863,3.0,6447611.17,59242.34,6388368.83,10783.45,61.64,82.0
search,facebook,south,tablet,25-34,monsoon,2025-03-18,102398.0,630797,17156,20850,4625,1027,4668,1643,4.1,14714164.78,105738.89,14608425.89,13815.57,52.16,372.0
affiliate,facebook,west,mobile,45-54,summer,2024-05-13,22397.0,316027,8858,13083,928,460,2514,350,3.2,2767478.98,20512.52,2746966.46,13391.66,74.05,119.0
influencer,x,south,mobile,25-34,winter,2024-01-01,32512.0,558668,16134,9491,746,1197,3310,738,3.2,3886706.86,27468.49,3859238.37,14049.69,59.14,142.0
influencer,x,west,mobile,55+,summer,2023-07-25,10563.0,59057,754,442,91,48,179,22,3.3,207044.34,9681.96,197362.38,2038.45,59.7,102.0
affiliate,facebook,central,tablet,18-24,summer,2025-03-09,28759.0,421689,12115,11086,1065,558,3475,427,3.3,1436115.45,31392.69,1404722.76,4474.68,79.69,95.0
affiliate,linkedin,north,mobile,35-44,winter,2024-09-24,18321.0,338796,7431,5054,542,363,1915,330,5.0,1078670.47,18895.15,1059775.32,5608.72,73.61,228.0
influencer,instagram,north,mobile,55+,summer,2023-05-04,24332.0,374145,12018,13206,1264,1541,2444,401,5.0,4206660.31,23511.11,4183149.2,17792.22,28.24,84.0
search,instagram,central,tablet,45-54,summer,2024-02-07,111479.0,1533087,46777,70838,17659,9858,7479,2580,4.3,18487637.58,115228.36,18372409.22,15944.35,53.01,136.0
social media,facebook,west,tablet,25-34,monsoon,2023-10-18,115482.0,756903,16051,18986,4646,1717,1674,584,3.5,2072503.89,115342.21,1957161.68,1696.83,49.46,214.0
affiliate,linkedin,west,mobile,25-34,festive,2023-06-18,78001.0,1013920,25532,14193,734,1236,2674,231,4.4,351821.92,82313.45,269508.47,327.42,39.35,65.0
influencer,youtube,west,desktop,18-24,festive,2024-12-12,39143.0,445972,20302,23387,4926,2849,3995,1108,4.8,16395042.5,37179.78,16357862.72,43996.66,29.32,98.0
email,youtube,south,mobile,25-34,winter,2023-04-21,109141.0,1253474,31649,14459,1296,2100,2030,234,4.6,2249544.23,113906.52,2135637.71,1874.9,50.04,178.0
influencer,x,central,tablet,25-34,winter,2023-09-14,32028.0,236728,7693,3895,473,184,1024,251,2.9,1880735.91,33493.05,1847242.86,5515.3,49.67,360.0
search,linkedin,east,tablet,45-54,monsoon,2024-11-23,34464.0,167529,3666,3610,235,180,106,31,4.1,296529.96,29807.31,266722.65,894.82,79.88,90.0
email,google ads,north,desktop,55+,festive,2023-03-20,60272.0,1640573,51527,58720,3247,4876,6632,2127,2.3,23371210.6,49907.16,23321303.44,46729.37,34.61,125.0
search,facebook,north,mobile,45-54,summer,2025-09-22,40017.0,660600,22217,12304,1688,541,1090,400,4.4,3862282.45,37953.74,3824328.71,10076.29,63.42,155.0
affiliate,google ads,west,tablet,55+,festive,2024-08-26,40382.0,473832,13714,9778,928,1217,4934,2159,4.0,28874053.5,34226.69,28839826.81,84261.22,30.18,160.0
social media,facebook,south,mobile,35-44,monsoon,2023-07-19,170124.0,2630521,37860,50618,8849,5067,5628,622,4.2,5476931.99,143238.43,5333693.5600000005,3723.65,38.99,55.0
email,x,south,desktop,45-54,summer,2025-10-02,81586.0,637902,2653,1757,169,77,394,76,4.2,384151.97,76031.65,308120.31999999995,405.25,25.96,153.0
affiliate,linkedin,south,desktop,35-44,festive,2023-10-12,61862.0,1558784,49966,31531,5387,1553,3225,361,5.0,3616740.2,53400.61,3563339.5900000003,6672.84,79.32,225.0
search,x,west,desktop,25-34,winter,2024-10-29,60293.0,955340,3278,4863,392,293,176,40,4.0,351200.12,63788.53,287411.59,450.57,42.95,119.0
email,google ads,west,tablet,25-34,summer,2024-04-25,83251.0,796152,12769,15038,2892,1695,4192,929,4.6,6017733.22,78532.85,5939200.37,7562.7,65.95,133.0
email,facebook,central,mobile,35-44,monsoon,2024-07-25,110582.0,510338,20635,10826,1330,743,1826,688,3.1,5726628.3,120473.26,5606155.04,4653.44,56.1,106.0
influencer,facebook,south,mobile,18-24,winter,2023-12-25,121182.0,2209456,55139,96323,22047,9545,4251,712,3.5,1357642.16,107137.42,1250504.74,1167.2,44.59,449.0
affiliate,instagram,west,tablet,35-44,festive,2024-08-15,269748.0,6836236,273578,185807,42783,13606,67048,25333,3.6,205809995.88,286219.13,205523776.75,71806.44,33.38,92.0
email,instagram,east,mobile,55+,festive,2023-05-03,40286.0,1203962,38133,50587,12489,3581,9175,2420,3.9,4682871.16,40136.46,4642734.7,11567.37,50.04,403.0
social media,google ads,central,mobile,45-54,monsoon,2025-04-24,36793.0,360522,8779,4476,444,285,2705,1002,4.7,6297424.4,38717.55,6258706.850000001,16165.04,28.36,291.0
social media,instagram,south,tablet,45-54,summer,2024-09-02,95678.0,875031,34068,45681,10556,2511,10424,2396,3.0,7459912.07,83253.17,7376658.9,8860.51,26.32,397.0
influencer,youtube,north,desktop,35-44,winter,2025-05-21,71648.0,828494,19317,27789,6414,1022,5614,2150,5.0,24672390.05,63283.75,24609106.3,38886.93,56.41,101.0
email,instagram,south,mobile,18-24,summer,2024-04-06,53599.0,311210,1467,2003,450,156,416,117,4.6,472709.57,50443.35,422266.22,837.11,58.03,300.0
influencer,x,central,tablet,55+,summer,2024-05-15,76154.0,1153469,32357,38580,7762,4285,2417,541,3.8,1488137.0,63205.4,1424931.6,2254.45,58.58,496.0
influencer,google ads,west,mobile,18-24,summer,2023-04-15,43048.0,279260,11874,15931,1090,1488,2551,928,4.8,4320349.22,35527.37,4284821.85,12060.62,79.19,199.0
influencer,facebook,south,mobile,25-34,festive,2023-08-03,101033.0,1823067,63437,80034,8504,10682,6297,1486,4.0,6868505.23,88006.49,6780498.74,7704.54,60.61,268.0
email,google ads,south,tablet,18-24,monsoon,2024-07-31,33014.0,166496,6672,6427,1529,546,1841,480,3.7,1995007.03,31330.65,1963676.38,6267.59,49.72,90.0
email,linkedin,south,tablet,45-54,monsoon,2023-03-11,30002.0,324415,8996,8363,726,627,1212,220,4.2,1728059.42,32194.96,1695864.46,5267.48,29.59,237.0
search,x,east,desktop,35-44,festive,2023-12-14,158821.0,2055222,31413,19426,3613,1995,1361,299,4.3,1253301.66,132381.14,1120920.52,846.74,34.3,213.0
influencer,linkedin,east,desktop,55+,festive,2023-01-08,24008.0,182826,6074,9511,2273,621,877,171,3.8,2395516.53,19296.01,2376220.52,12314.57,71.04,83.0
influencer,x,central,tablet,18-24,monsoon,2023-09-29,17211.0,245796,10722,16916,3636,2452,2487,472,4.8,3693721.72,15779.83,3677941.89,23307.87,39.61,321.0
influencer,x,south,tablet,55+,festive,2025-11-21,108107.0,1720929,36835,27679,5330,2876,6178,844,4.0,6323268.12,95875.8,6227392.32,6495.27,29.36,66.0
influencer,instagram,north,tablet,55+,winter,2025-08-15,78312.0,591082,14620,15490,2960,1509,2099,355,4.7,1513159.66,85819.97,1427339.69,1663.18,78.18,430.0
social media,facebook,central,desktop,55+,winter,2023-05-15,25633.0,480021,13760,11840,1674,1490,4266,894,3.9,5947122.35,26623.66,5920498.69,22237.73,70.55,162.0
email,youtube,west,desktop,45-54,festive,2023-03-27,68169.0,1996392,80013,100666,7531,10153,19445,3815,3.4,45280924.84,55520.15,45225404.690000005,81457.64,75.89,112.0
influencer,youtube,central,desktop,18-24,summer,2023-10-31,138304.0,1454780,22383,38712,3539,2860,7349,1555,3.9,12439627.33,150680.14,12288947.19,8155.65,64.65,239.0
email,instagram,north,tablet,45-54,festive,2025-04-02,274794.0,3489010,123602,70586,11771,4182,15985,5804,4.4,34797024.89,223540.27,34573484.62,15466.33,46.96,105.0
affiliate,google ads,east,desktop,55+,winter,2023-02-23,31349.0,562907,13040,20358,4164,1055,1659,443,3.7,3750488.87,27047.49,3723441.38,13766.31,77.79,114.0
influencer,instagram,west,mobile,25-34,summer,2023-02-23,180134.0,2314576,4629,7258,1440,862,768,272,3.7,1128790.69,178102.8,950687.89,533.79,66.88,118.0
email,facebook,east,desktop,45-54,monsoon,2025-12-15,69898.0,1082136,34011,24798,1568,2568,7278,1329,3.7,7503795.21,67471.99,7436323.22,11021.35,55.21,70.0
search,x,east,tablet,55+,summer,2024-07-24,139129.0,1092657,28068,41098,9324,1805,4548,318,3.4,3100742.91,142802.82,2957940.0900000003,2071.35,27.42,586.0
influencer,google ads,west,desktop,55+,festive,2023-02-07,38189.0,518617,18590,8090,1806,381,2799,238,3.6,688779.57,40945.41,647834.1599999999,1582.19,78.84,179.0
affiliate,instagram,central,mobile,18-24,monsoon,2023-08-20,121040.0,1430668,30853,23327,2905,1749,11042,4220,4.3,9126104.01,131640.7,8994463.31,6832.59,31.35,184.0
influencer,google ads,south,tablet,25-34,summer,2023-05-11,100075.0,1473321,40353,16264,1342,709,2519,293,3.7,267712.72,82942.86,184769.86,222.77,72.97,281.0
email,instagram,central,tablet,55+,winter,2024-01-21,153133.0,1562138,12434,20135,4038,1254,848,300,4.0,1430008.36,137240.12,1292768.2400000002,941.98,33.09,181.0
social media,youtube,north,tablet,25-34,festive,2023-06-28,111667.0,2326893,85179,112490,27740,9665,9823,2572,4.3,16784217.15,96609.78,16687607.37,17273.21,59.12,61.0
social media,facebook,south,desktop,35-44,monsoon,2025-01-19,95037.0,1085759,27813,40143,4709,3520,5252,2005,3.9,12553051.05,95679.44,12457371.61,13019.9,27.69,361.0
influencer,facebook,west,tablet,18-24,summer,2023-05-18,28822.0,189735,6512,10843,724,604,1707,649,3.7,2681131.04,26614.06,2654516.98,9974.12,78.37,227.0
social media,google ads,central,tablet,25-34,festive,2025-03-16,31436.0,787251,32658,54487,4754,4452,13340,2565,4.5,24545486.26,25975.87,24519510.39,94393.41,36.37,178.0
email,linkedin,south,tablet,45-54,winter,2023-07-06,37201.0,509916,20368,34488,4711,1449,4692,1343,4.0,12784112.19,32258.17,12751854.02,39530.62,58.08,90.0
email,x,central,mobile,35-44,summer,2024-04-04,26173.0,251889,6588,9288,1954,402,475,23,4.6,105876.76,26978.87,78897.89,292.44,21.43,103.0
social media,linkedin,east,tablet,25-34,monsoon,2024-06-16,90099.0,786312,1924,3332,696,495,232,37,4.4,340741.98,93996.83,246745.15,262.5,38.7,202.0
influencer,google ads,south,desktop,18-24,monsoon,2024-12-17,63441.0,803067,21379,9741,1110,1112,3019,512,3.8,3536390.18,52740.89,3483649.29,6605.22,35.42,265.0
email,youtube,south,mobile,18-24,monsoon,2023-12-05,201357.0,952210,21090,25466,3348,3461,4656,1038,4.0,8468638.75,180247.82,8288390.93,4598.33,52.15,60.0
influencer,google ads,east,tablet,55+,summer,2023-05-07,76101.0,1234954,56424,48770,3296,6758,15853,6028,2.9,47961522.38,64486.9,47897035.48,74274.05,39.7,265.0
affiliate,instagram,west,mobile,25-34,winter,2025-01-06,58697.0,524082,12593,17186,1485,1200,1435,514,3.2,3991875.33,47594.6,3944280.73,8287.24,50.04,95.0
affiliate,facebook,east,desktop,18-24,winter,2024-05-19,103078.0,1966196,66417,103838,24101,7195,4398,1198,4.0,8174753.54,103143.28,8071610.26,7825.63,29.7,97.0
email,google ads,west,tablet,35-44,festive,2024-08-05,43293.0,945003,19961,15213,874,1343,6736,3121,4.1,41264026.29,43068.07,41220958.22,95711.18,32.87,129.0
affiliate,google ads,west,tablet,55+,festive,2024-06-14,39968.0,457877,12140,9952,687,1480,1043,411,4.6,7362182.78,36043.78,7326139.0,20325.67,79.77,381.0
affiliate,youtube,south,tablet,45-54,summer,2024-06-01,17867.0,133049,3114,2839,351,371,1212,190,2.8,2003994.61,17736.79,1986257.82,11198.52,66.91,126.0
influencer,youtube,west,tablet,18-24,summer,2024-01-16,24141.0,264671,8168,9855,1029,1044,1591,641,3.8,841976.0,25814.98,816161.02,3161.58,24.74,130.0
affiliate,linkedin,central,mobile,18-24,summer,2023-03-26,37644.0,512819,11489,14917,1709,775,1550,112,4.0,432781.14,39845.96,392935.18,986.14,69.6,270.0
influencer,facebook,north,desktop,25-34,monsoon,2023-02-12,261770.0,3850361,110562,136364,16999,15917,17794,3062,2.8,19628849.85,261597.51,19367252.34,7403.45,23.6,172.0
social media,x,south,tablet,35-44,summer,2023-01-30,105328.0,1602581,57684,79259,18058,3811,12350,3324,4.7,4912323.28,101119.09,4811204.19,4757.96,48.98,178.0
affiliate,google ads,east,mobile,45-54,summer,2024-03-27,13710.0,223083,8167,10685,2383,1439,2967,1096,3.0,9683038.56,11767.34,9671271.22,82187.4,32.6,140.0
affiliate,linkedin,east,desktop,45-54,festive,2023-06-04,56125.0,514254,11106,6754,1092,973,1851,538,4.1,9099619.88,52995.96,9046623.92,17070.4,49.89,212.0
affiliate,linkedin,west,mobile,55+,winter,2024-12-15,76255.0,1479259,40631,53853,3367,6632,3416,767,3.2,6896773.16,78548.49,6818224.67,8680.27,50.04,420.0
affiliate,youtube,south,tablet,18-24,summer,2024-01-08,142025.0,837471,34571,49761,5119,5285,10175,2009,3.9,9997485.66,141120.16,9856365.5,6984.38,57.46,55.0
social media,youtube,central,desktop,25-34,summer,2024-12-02,65688.0,851884,23351,27819,6952,2899,7963,1356,3.6,2938999.35,67369.34,2871630.01,4262.52,34.39,204.0
social media,x,south,mobile,35-44,monsoon,2025-11-19,13674.0,215119,3969,4122,577,518,459,81,4.6,122673.41,13371.0,109302.41,817.46,22.84,114.0
email,facebook,north,tablet,45-54,festive,2024-05-28,27236.0,791568,28121,14704,3397,912,7456,1779,4.2,27602956.51,26233.14,27576723.37,105121.7,27.77,147.0
social media,google ads,west,mobile,35-44,festive,2024-10-09,49641.0,1256996,41481,38687,8445,3743,2204,215,3.9,2733182.36,52030.8,2681151.56,5153.01,69.69,48.0
social media,x,west,mobile,18-24,festive,2025-06-15,51250.0,1504868,49331,55946,9022,5835,7950,612,3.7,6158621.53,43211.37,6115410.16,14152.32,55.07,44.0
affiliate,linkedin,north,tablet,45-54,monsoon,2025-06-06,30087.0,438566,7120,11651,609,1636,1198,155,3.1,377629.87,30733.35,346896.52,1128.73,58.25,249.0
search,youtube,east,tablet,45-54,winter,2025-01-08,29649.0,293407,7109,8706,1346,1281,2694,373,4.6,3264767.69,27048.72,3237718.97,11969.95,76.98,49.0
search,linkedin,south,desktop,35-44,winter,2024-10-21,39433.0,467516,19300,16938,2283,1780,5101,1295,4.5,9527679.81,36091.86,9491587.95,26298.42,58.78,161.0
social media,instagram,central,tablet,25-34,festive,2023-05-06,99891.0,1182139,64298,81857,15313,5471,15799,6230,4.6,33122025.47,94944.64,33027080.83,34785.62,74.64,30.0
email,facebook,east,desktop,45-54,monsoon,2023-12-03,34584.0,351422,6925,4410,859,309,239,33,4.5,66603.11,34061.57,32541.54,95.54,44.17,113.0
social media,youtube,central,tablet,18-24,festive,2025-09-02,138910.0,3908178,134426,195051,13511,15310,46966,18384,3.8,142266399.56,128611.4,142137788.16,110517.25,74.41,320.0
search,instagram,west,desktop,45-54,monsoon,2023-09-27,339527.0,4809656,61322,86440,19498,9270,11578,3035,3.9,17904501.57,362485.26,17542016.31,4839.37,60.75,299.0
affiliate,youtube,west,tablet,35-44,winter,2025-09-09,84991.0,783347,15637,16265,3082,2229,1939,747,3.9,3615014.36,89366.21,3525648.15,3945.17,35.76,184.0
affiliate,instagram,central,mobile,18-24,monsoon,2025-04-06,42563.0,468010,11442,16133,3800,1955,2673,851,4.5,6121530.3,35757.8,6085772.5,17019.43,34.29,105.0
email,facebook,north,mobile,25-34,festive,2025-03-13,45612.0,1192669,33723,53246,5535,5130,2312,847,3.6,4481986.93,47804.27,4434182.66,9275.7,73.42,105.0
search,linkedin,east,mobile,18-24,summer,2023-02-09,88685.0,662411,23745,28466,2508,3885,672,84,4.0,98235.1,88946.53,9288.570000000009,10.44,62.03,147.0
influencer,youtube,central,tablet,18-24,summer,2025-05-08,98622.0,1487382,36218,29479,3525,1823,1751,512,4.4,1627538.17,96511.04,1531027.13,1586.38,63.96,257.0
email,linkedin,south,desktop,25-34,winter,2025-01-08,20863.0,214358,5864,7855,1931,998,470,49,3.5,313252.59,19230.69,294021.9,1528.92,54.24,100.0
affiliate,instagram,west,mobile,35-44,festive,2024-06-16,39132.0,715729,10208,13874,3068,2035,1501,560,4.4,7252584.2,31448.83,7221135.37,22961.54,50.04,211.0
influencer,instagram,east,desktop,35-44,summer,2025-11-17,149203.0,1487012,22152,38805,9409,5499,4819,654,3.5,3114281.37,132225.34,2982056.0300000003,2255.28,47.92,194.0
email,linkedin,central,desktop,55+,winter,2025-10-09,86423.0,1436490,35651,30644,7362,1601,6440,1958,3.4,21832388.98,78050.88,21754338.1,27872.0,74.45,61.0
email,linkedin,north,desktop,45-54,winter,2023-08-16,40482.0,580525,22294,16336,1813,670,1293,152,3.4,1334925.08,38925.25,1295999.83,3329.46,34.05,211.0
social media,google ads,west,tablet,25-34,monsoon,2023-06-03,72404.0,558369,19726,9034,1440,337,3478,1503,4.5,13375550.81,68092.89,13307457.92,19543.09,66.87,309.0
email,youtube,west,mobile,35-44,festive,2024-02-01,150615.0,2347558,93614,57834,10735,3108,28948,11436,3.4,167765209.57,133051.02,167632158.54999998,125990.89,25.14,177.0
influencer,facebook,central,mobile,18-24,summer,2023-11-11,99439.0,499556,13762,12810,2656,1747,2918,567,5.0,5395556.65,92285.45,5303271.2,5746.6,73.49,132.0
email,google ads,north,tablet,55+,winter,2024-12-31,39356.0,229103,2117,3450,629,270,202,41,4.4,66875.73,36455.5,30420.23,83.44,36.31,224.0
social media,facebook,west,tablet,55+,winter,2024-01-01,85742.0,1632140,28783,26675,4309,3029,7602,1963,3.7,14398646.41,70209.64,14328436.77,20408.08,47.68,211.0
email,google ads,central,mobile,18-24,festive,2024-01-19,23774.0,501986,7999,4616,423,230,1234,501,3.2,6348942.4,24686.56,6324255.840000001,25618.21,63.6,58.0
search,facebook,north,desktop,55+,winter,2023-07-02,26338.0,377919,15546,7010,1359,394,1508,576,3.1,3686575.99,26635.0,3659940.99,13741.1,45.39,141.0
search,instagram,south,desktop,25-34,winter,2023-04-21,74681.0,879622,6761,3123,626,148,468,194,3.7,1599645.21,66219.72,1533425.49,2315.66,39.25,135.0
search,facebook,central,mobile,35-44,winter,2023-04-16,31259.0,355338,13000,12802,2252,1626,1231,451,4.1,1903385.63,26850.54,1876535.09,6988.82,66.37,136.0
email,x,north,mobile,18-24,summer,2025-01-24,123389.0,592899,26165,22665,4830,762,851,182,4.1,351227.95,128535.01,222692.94,173.25,52.73,277.0
influencer,google ads,south,desktop,25-34,monsoon,2023-07-23,82534.0,1232686,26442,26989,3229,2976,8820,3852,4.3,23956298.15,89680.74,23866617.41,26612.87,59.41,538.0
search,facebook,south,desktop,55+,festive,2025-01-28,40464.0,378676,6112,6337,462,274,509,70,4.2,503133.63,38015.42,465118.21,1223.5,72.05,139.0
influencer,linkedin,north,tablet,18-24,summer,2024-03-22,45319.0,730701,13594,12547,2745,1575,1182,348,3.6,1455502.09,44887.46,1410614.63,3142.56,46.14,177.0
email,youtube,central,desktop,45-54,winter,2024-11-06,33035.0,639579,15817,17650,1652,544,1190,82,3.6,230612.19,28073.05,202539.14,721.47,49.1,97.0
email,google ads,west,mobile,35-44,summer,2024-09-17,66633.0,340515,9662,12513,2857,797,1473,191,4.0,1242335.53,57269.49,1185066.04,2069.28,65.23,76.0
influencer,instagram,central,mobile,25-34,festive,2023-03-01,38486.0,621455,9554,8549,1714,921,411,105,3.5,838429.12,35006.66,803422.46,2295.06,38.5,413.0
influencer,google ads,west,mobile,55+,monsoon,2025-02-06,21132.0,306112,7287,4552,538,152,2386,724,4.3,677580.07,22080.06,655500.0099999999,2968.74,28.14,307.0
